alpha,beta
2.935871743486974,[0.2620617]
2.9639278557114226,[0.27016651]
2.9919839679358717,[0.25433295]
3.020040080160321,[0.2688614]
3.0480961923847696,[0.25352786]
3.0761523046092183,[0.26654376]
3.1042084168336674,[0.26305738]
3.132264529058116,[0.26336691]
3.1603206412825653,[0.25931479]
3.188376753507014,[0.25699943]
3.216432865731463,[0.26869415]
3.244488977955912,[0.2500034]
3.2725450901803605,[0.25851585]
3.3006012024048097,[0.25272689]
3.3286573146292584,[0.25466485]
3.3567134268537075,[0.25551637]
3.3847695390781563,[0.25411297]
3.4128256513026054,[0.25833818]
3.440881763527054,[0.25108277]
3.468937875751503,[0.25053821]
3.496993987975952,[0.2547244]
3.5250501002004007,[0.25606208]
3.55310621242485,[0.24095432]
3.5811623246492985,[0.25263219]
3.6092184368737477,[0.24884439]
3.6372745490981964,[0.2572662]
3.6653306613226455,[0.24811778]
3.693386773547094,[0.24442973]
3.721442885771543,[0.24533216]
3.749498997995992,[0.23879192]
3.7775551102204408,[0.24271694]
3.80561122244489,[0.25589013]
3.8336673346693386,[0.24489145]
3.8617234468937878,[0.24730253]
3.8897795591182365,[0.24008123]
3.9178356713426856,[0.24313704]
3.9458917835671343,[0.23741844]
3.973947895791583,[0.23042538]
4.002004008016032,[0.24441056]
4.030060120240481,[0.22348937]
4.05811623246493,[0.2537309]
4.086172344689379,[0.23352811]
4.114228456913828,[0.24022286]
4.142284569138276,[0.22696215]
4.170340681362726,[0.23082348]
4.198396793587174,[0.23003686]
4.226452905811623,[0.23466492]
4.254509018036073,[0.22926198]
4.2825651302605205,[0.23592157]
4.31062124248497,[0.22083193]
4.338677354709419,[0.22125669]
4.3667334669338675,[0.23588968]
4.394789579158317,[0.22282423]
4.422845691382765,[0.23105021]
4.4509018036072145,[0.22537418]
4.478957915831663,[0.22202717]
4.507014028056112,[0.23166816]
4.5350701402805615,[0.22420136]
4.56312625250501,[0.21831709]
4.591182364729459,[0.20926917]
4.619238476953908,[0.21463526]
4.647294589178356,[0.21593513]
4.675350701402806,[0.21252707]
4.703406813627255,[0.20954955]
4.731462925851703,[0.21885079]
4.759519038076153,[0.21589619]
4.787575150300601,[0.21481266]
4.81563126252505,[0.21815303]
4.843687374749499,[0.21799337]
4.871743486973948,[0.20518468]
4.899799599198397,[0.20675181]
4.927855711422845,[0.21451436]
4.955911823647295,[0.21067451]
4.9839679358717435,[0.20660094]
5.012024048096192,[0.20185946]
5.040080160320642,[0.20219215]
5.0681362725450905,[0.21239328]
5.096192384769539,[0.20038161]
5.124248496993988,[0.19414363]
5.152304609218437,[0.19652785]
5.180360721442886,[0.19278528]
5.208416833667335,[0.19652605]
5.236472945891784,[0.2003958]
5.264529058116232,[0.19112059]
5.292585170340681,[0.19232586]
5.320641282565131,[0.18206558]
5.348697394789579,[0.18684247]
5.376753507014028,[0.17832275]
5.404809619238477,[0.19347087]
5.432865731462926,[0.18557822]
5.460921843687375,[0.17877164]
5.488977955911824,[0.18467928]
5.517034068136272,[0.17878063]
5.545090180360721,[0.18463453]
5.573146292585171,[0.18102703]
5.601202404809619,[0.1835242]
5.629258517034068,[0.18075965]
5.657314629258517,[0.17710222]
5.685370741482966,[0.17562141]
5.713426853707415,[0.17288021]
5.741482965931864,[0.17947245]
5.7695390781563125,[0.17244498]
5.797595190380761,[0.16819263]
5.825651302605211,[0.17855782]
5.8537074148296595,[0.16690629]
5.881763527054108,[0.16948538]
5.909819639278557,[0.1731628]
5.937875751503006,[0.1614111]
5.965931863727455,[0.17242119]
5.993987975951904,[0.17097794]
6.022044088176353,[0.16247968]
6.050100200400801,[0.1645812]
6.078156312625251,[0.1537179]
6.1062124248497,[0.166657]
6.134268537074148,[0.15919635]
6.162324649298597,[0.16138403]
6.190380761523046,[0.15745843]
6.218436873747495,[0.14891243]
6.246492985971944,[0.15102302]
6.274549098196393,[0.15236616]
6.302605210420841,[0.14856]
6.330661322645291,[0.14764781]
6.35871743486974,[0.14505742]
6.386773547094188,[0.15283748]
6.414829659318637,[0.15209187]
6.442885771543086,[0.14556602]
